IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,51.78,,,50.48,,53.18,51.8 [50.5-53.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,52.93,,,51.78,,54.2,52.9 [51.8-54.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.21,,,53.93,,56.72,55.2 [53.9-56.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.75,,,54.44,,57.3,55.7 [54.4-57.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.51,,,57.27,,59.75,58.5 [57.3-59.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.98,,,57.93,,59.99,59.0 [57.9-60.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59,,,57.88,,60.52,59.0 [57.9-60.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.07,,,58.14,,60.13,59.1 [58.1-60.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.37,,,58.1,,60.6,59.4 [58.1-60.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.4,,,59.05,,61.66,60.4 [59.0-61.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.57,,,59.34,,61.81,60.6 [59.3-61.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GIN,Guinea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.13,,,60.11,,62.21,61.1 [60.1-62.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.22,,,60.26,,62.16,61.2 [60.3-62.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.39,,,59.73,,63.2,61.4 [59.7-63.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZMB,Zambia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.76,,,60.56,,62.79,61.8 [60.6-62.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.84,,,60.99,,62.95,61.8 [61.0-63.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MLI,Mali,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.83,,,60.95,,62.96,61.8 [61.0-63.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CMR,Cameroon,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.03,,,60.94,,63.01,62.0 [60.9-63.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.14,,,61.23,,63.06,62.1 [61.2-63.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,AGO,Angola,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.49,,,61.58,,63.39,62.5 [61.6-63.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.61,,,61.73,,63.54,62.6 [61.7-63.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,COG,Congo,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.76,,,62,,63.71,62.8 [62.0-63.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NGA,Nigeria,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.07,,,62,,64.43,63.1 [62.0-64.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MWI,Malawi,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.23,,,62.49,,64.19,63.2 [62.5-64.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LBR,Liberia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.44,,,62.19,,64.77,63.4 [62.2-64.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.48,,,62.49,,64.49,63.5 [62.5-64.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NAM,Namibia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.49,,,62.55,,64.37,63.5 [62.6-64.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TGO,Togo,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.65,,,62.77,,64.53,63.6 [62.8-64.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,HTI,Haiti,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.66,,,62.52,,65.01,63.7 [62.5-65.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ERI,Eritrea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.76,,,62.92,,64.78,63.8 [62.9-64.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MDG,Madagascar,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.82,,,62.94,,64.86,63.8 [62.9-64.9],,,EN,2024-08-01T23:00:00.000Z
