IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,48.96,,,47.8,,50.19,49.0 [47.8-50.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,50.31,,,49.23,,51.49,50.3 [49.2-51.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,51.78,,,50.48,,53.18,51.8 [50.5-53.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,52.47,,,51.33,,53.75,52.5 [51.3-53.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,52.87,,,51.43,,54.19,52.9 [51.4-54.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,52.93,,,51.78,,54.2,52.9 [51.8-54.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Lesotho,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,54.91,,,53.44,,56.56,54.9 [53.4-56.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.21,,,53.93,,56.72,55.2 [53.9-56.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,55.39,,,54.28,,56.66,55.4 [54.3-56.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.75,,,54.44,,57.3,55.7 [54.4-57.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,55.89,,,54.83,,57.11,55.9 [54.8-57.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,56.41,,,55.21,,57.51,56.4 [55.2-57.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,56.78,,,55.41,,58.29,56.8 [55.4-58.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,56.9,,,56.11,,57.87,56.9 [56.1-57.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,57.75,,,56.64,,58.91,57.7 [56.6-58.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,57.84,,,56.59,,59.19,57.8 [56.6-59.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.51,,,57.27,,59.75,58.5 [57.3-59.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,58.9,,,57.86,,59.97,58.9 [57.9-60.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.98,,,57.93,,59.99,59.0 [57.9-60.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59,,,57.88,,60.52,59.0 [57.9-60.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.07,,,58.14,,60.13,59.1 [58.1-60.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Eswatini,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,59.38,,,58.01,,61.25,59.4 [58.0-61.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.37,,,58.1,,60.6,59.4 [58.1-60.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZMB,Zambia,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.43,,,58.38,,60.61,59.4 [58.4-60.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.5,,,58.31,,60.86,59.5 [58.3-60.9],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.64,,,58.19,,61.12,59.6 [58.2-61.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.67,,,58.75,,60.71,59.7 [58.7-60.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GIN,Guinea,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.8,,,58.53,,60.97,59.8 [58.5-61.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.88,,,58.53,,61.44,59.9 [58.5-61.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NAM,Namibia,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,59.99,,,59.11,,61.07,60.0 [59.1-61.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,60.04,,,59.31,,61.09,60.0 [59.3-61.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,60.08,,,58.97,,61.12,60.1 [59.0-61.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CMR,Cameroon,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,60.08,,,59.04,,61.22,60.1 [59.0-61.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,AGO,Angola,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,60.33,,,59.44,,61.34,60.3 [59.4-61.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.4,,,59.05,,61.66,60.4 [59.0-61.7],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MWI,Malawi,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,60.43,,,59.62,,61.53,60.4 [59.6-61.5],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.57,,,59.34,,61.81,60.6 [59.3-61.8],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Chad,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,60.94,,,60.04,,62.03,60.9 [60.0-62.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ERI,Eritrea,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,61,,,60.04,,61.96,61.0 [60.0-62.0],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,61.02,,,60.1,,62.13,61.0 [60.1-62.1],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GIN,Guinea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.13,,,60.11,,62.21,61.1 [60.1-62.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,61.16,,,59.95,,62.56,61.2 [60.0-62.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TGO,Togo,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,61.21,,,60.1,,62.33,61.2 [60.1-62.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,61.19,,,60.07,,62.6,61.2 [60.1-62.6],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.22,,,60.26,,62.16,61.2 [60.3-62.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MLI,Mali,Year,2019,false,Sex,Male,SEX_MLE,,,,,,,,,,61.28,,,60.33,,62.33,61.3 [60.3-62.3],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,61.3,,,60.32,,62.43,61.3 [60.3-62.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.39,,,59.73,,63.2,61.4 [59.7-63.2],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,61.44,,,60.59,,62.43,61.4 [60.6-62.4],,,EN,2024-08-01T23:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Niger,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,61.52,,,60.44,,62.67,61.5 [60.4-62.7],,,EN,2024-08-01T23:00:00.000Z
