IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,AMR,Americas,Country,CUB,Cuba,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,100.1,,,,,,100,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,99.77,,,,,,100,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,100.4,,,,,,100,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,99.92,,,,,,100,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,100.8,,,,,,101,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,101.2,,,,,,101,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,101.3,,,,,,101,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2019,false,Sex,Female,SEX_FMLE,,,,,,,,,,100.8,,,,,,101,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,101.6,,,,,,102,,,EN,2024-10-31T00:00:00.000Z
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2019,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,101.9,,,,,,102,,,EN,2024-10-31T00:00:00.000Z
