IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2019,false,,,,,,,,,,,,,0,,,,,,0.0,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2019,false,,,,,,,,,,,,,0.009,,,,,,0.0,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,false,,,,,,,,,,,,,0.007,,,,,,0.0,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,false,,,,,,,,,,,,,0.027,,,,,,0.0,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,WPR,Western Pacific,Country,WLF,Wallis and Futuna Islands,Year,2019,false,,,,,,,,,,,,,0.013,,,,,,0.0,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,false,,,,,,,,,,,,,0.083,,,,,,0.1,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,false,,,,,,,,,,,,,0.19,,,,,,0.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2019,false,,,,,,,,,,,,,0.18,,,,,,0.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,false,,,,,,,,,,,,,0.22,,,,,,0.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2019,false,,,,,,,,,,,,,0.19,,,,,,0.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,DMA,Dominica,Year,2019,false,,,,,,,,,,,,,0.31,,,,,,0.3,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,GRD,Grenada,Year,2019,false,,,,,,,,,,,,,0.37,,,,,,0.4,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2019,false,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AFR,Africa,Country,GAB,Gabon,Year,2019,false,,,,,,,,,,,,,0.59,,,,,,0.6,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,false,,,,,,,,,,,,,1.2,,,,,,1.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,false,,,,,,,,,,,,,1.16,,,,,,1.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2019,false,,,,,,,,,,,,,1.17,,,,,,1.2,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,false,,,,,,,,,,,,,1.27,,,,,,1.3,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AMR,Americas,Country,BLZ,Belize,Year,2019,false,,,,,,,,,,,,,1.32,,,,,,1.3,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2019,false,,,,,,,,,,,,,1.29,,,,,,1.3,,,EN,2025-05-11T23:00:00.000Z
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2023 US$ millions),numeric,AFR,Africa,Country,GMB,Gambia,Year,2019,false,,,,,,,,,,,,,1.72,,,,,,1.7,,,EN,2025-05-11T23:00:00.000Z
